rag_concepts,non_rag_concepts
air pollution exposure,noise levels
gaseous pollutants,walkability
ozone levels,proximity to industrial zones
fine particulate matter (pm2.5),community heat islands
toxic metal exposure,air quality variation
industrial waste exposure,residential crowding
transportation noise pollution,urban density
lack of recreational facilities,traffic emissions
green space availability,soil contamination
neighborhood environmental burden,waste management infrastructure
cumulative environmental burden,street lighting intensity
poor environmental conditions,allergen exposure
exposure to gaseous pollutants,pesticide drift
ozone exposure,flood risk
fine particulate exposure,stormwater drainage
neighborhood air pollution,microclimate variation
environmental hazards,building material emissions
exposure to environmental contaminants,ventilation adequacy
proximity to pollution sources,mold prevalence
neighborhood environmental exposure,radon exposure
air pollution,ultraviolet radiation exposure
hazardous sites,electromagnetic field exposure
toxic sites,urban tree canopy coverage
poor built environment,impervious surface ratio
transportation infrastructure,light pollution
water pollution,proximity to major roadways
exposure to nature,ambient particulate matter concentration
park availability,temperature variability
trail access,humidity levels
street vegetation,vector breeding habitats
urban greenery,wildfire smoke exposure
tree canopy coverage,proximity to waste disposal sites
neighborhood natural features,noise from transportation corridors
proximity to parks,indoor air pollutant accumulation
neighborhood environmental quality,lead contamination in housing
activity space exposure,asbestos presence
spatial exposure modeling,residential proximity to agricultural fields
,slope stability
,groundwater contamination
,household water hardness
,coastal erosion risk
,thermal comfort index
,vegetation biodiversity
,green roof prevalence
,surface albedo
,urban canyon effect
,shade availability
,proximity to power plants
